City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vila franca do campo,37.7167,-25.4333,291.42,99,100,4.65,PT,1702254810
83,puerto madero,14.7208,-92.4215,301.26,100,20,2.57,MX,1702254810
84,zadar,44.1197,15.2422,276.49,100,0,1.54,HR,1702254810
85,aqadyr,48.2553,72.8483,252.96,79,22,2.54,KZ,1702254810
86,san patricio,28.017,-97.5169,288.07,27,0,2.16,US,1702254810
87,antsiranana,-12.2787,49.2917,298.78,85,97,5.67,MG,1702254810
88,isafjordur,66.0755,-23.124,269.82,94,95,2.87,IS,1702254811
89,maracacume,-2.0428,-45.9592,296.93,93,89,1.74,BR,1702254811
90,karratha,-20.7377,116.8463,302.21,18,6,10.11,AU,1702254687
91,lebu,-37.6167,-73.65,286.06,87,100,8.61,CL,1702254697
92,yoichi,43.2039,140.7703,271.67,66,100,7.92,JP,1702254811
93,bateau bay,-33.3817,151.4844,302.34,70,10,5.2,AU,1702254811
94,pisco,-13.7,-76.2167,294.18,78,0,6.17,PE,1702254812
95,belmonte,-15.8631,-38.8828,297.88,85,1,2.82,BR,1702254812
96,iskateley,67.6803,53.1512,250.38,91,100,4.92,RU,1702254812
97,jiazi,22.8779,116.067,296.54,82,5,2.04,CN,1702254812
98,sinabang,2.4803,96.3801,298.73,87,100,1.38,ID,1702254812
99,abepura,-2.6333,140.5833,303.6,62,94,4.63,ID,1702254813
100,ilhabela,-23.7781,-45.3581,295.49,90,100,5.5,BR,1702254813
101,savonlinna,61.8699,28.88,261.18,85,100,2.06,FI,1702254813
102,port lincoln,-34.7333,135.8667,290.41,93,100,6.92,AU,1702254813
103,arraial do cabo,-22.9661,-42.0278,296.28,79,100,4.45,BR,1702254814
104,pirai do sul,-24.5261,-49.9486,289.68,99,100,0.7,BR,1702254599
105,la passe,45.5549,-0.8967,289.28,88,100,10.74,FR,1702254676
106,longyearbyen,78.2186,15.6401,273.06,74,40,4.63,SJ,1702254754
107,bubaque,11.2833,-15.8333,301.31,63,99,4.69,GW,1702254814
108,dauphin,51.1494,-100.0502,259.23,92,0,1.03,CA,1702254814
109,recani,31.2846,-4.2688,287.92,47,0,1.72,MA,1702254814
110,st. john's,47.5649,-52.7093,272.02,91,0,3.6,CA,1702254568
111,sfizef,35.2346,-0.2444,281.87,53,0,2.25,DZ,1702254815
112,mezhdurechenskiy,59.6,65.9333,239.05,99,8,1.67,RU,1702254815
113,wailua homesteads,22.0669,-159.378,299.74,79,20,4.12,US,1702254815
114,weno,7.4515,151.8468,303.12,74,75,4.12,FM,1702254815
115,whitehorse,60.7161,-135.0538,259.58,83,100,1.54,CA,1702254773
116,hailakandi,24.6833,92.5667,288.66,96,9,1.48,IN,1702254816
117,ponta delgada,37.7333,-25.6667,291.59,82,20,7.2,PT,1702254816
118,ushuaia,-54.8,-68.3,280.96,49,0,5.66,AR,1702254688
119,mishelevka,52.8575,103.1719,239.66,99,60,0.8,RU,1702254816
120,bilibino,68.0546,166.4372,247.27,98,34,2.14,RU,1702254746
121,fortuna,40.5982,-124.1573,287.58,79,100,0.0,US,1702254817
122,bredasdorp,-34.5322,20.0403,288.29,82,0,1.24,ZA,1702254817
123,saipan,15.1355,145.701,302.54,74,20,6.17,MP,1702254817
124,debark',13.1561,37.8981,283.22,48,5,1.13,ET,1702254817
125,awjilah,29.1081,21.2869,286.45,68,0,3.86,LY,1702254817
126,stanley,54.868,-1.6985,279.1,96,75,3.09,GB,1702254818
127,onega,63.9061,38.1404,260.01,91,100,4.71,RU,1702254818
128,hasaki,35.7333,140.8333,287.2,67,100,2.14,JP,1702254818
129,kamyaran,34.7956,46.9355,278.46,62,100,0.63,IR,1702254818
